image,timestamp,input_rate,confidence,absolute_time_from_start,cpu_utility,detection_boxes,model_processing_time,image_processing_time,utility,model
2,2024-12-01T18:10:34.696390,2,0.762774924437205,3.0047404766082764,30.5,3,1.514479637145996,3.1689960956573486,-0.7031105856100719,yolov5m
4,2024-12-01T18:10:35.877873,2,0.6270825266838074,4.186230897903442,45.4,1,0.1563823223114013,3.354363918304444,-0.863640695810318,yolov5m
8,2024-12-01T18:10:36.963303,3,0.7303931415081024,5.271659851074219,35.2,2,0.2192194461822509,2.4323554039001465,-0.350981131196022,yolov5m
12,2024-12-01T18:10:39.053033,3,0.6586388945579529,7.361384868621826,76.3,2,0.1362702846527099,2.5255823135375977,-0.4334717094898224,yolov5m
13,2024-12-01T18:10:39.845286,3,0.8882903456687927,8.153644323348999,31.7,1,0.4757063388824463,2.800621271133423,-0.456165462732315,yolov5m
15,2024-12-01T18:10:40.847834,2,0.9217556715011596,9.156187534332275,32.0,1,0.2744259834289551,2.8103272914886475,-0.4442858099937439,yolov5m
15,2024-12-01T18:10:40.847834,2,0.9217556715011596,9.156187534332275,32.0,1,0.2744259834289551,2.8103272914886475,-0.4442858099937439,yolov5m
16,2024-12-01T18:10:42.847578,3,0.3954535722732544,11.155935287475586,37.6,1,0.7760396003723145,4.234593391418457,-1.669569909572601,yolov5m
19,2024-12-01T18:10:43.870193,3,0.9428723454475404,12.178550481796265,56.8,1,0.0971217155456543,3.836582660675049,-0.9468551576137544,yolov5m
22,2024-12-01T18:10:45.078622,3,0.9358925223350524,13.3869731426239,34.0,1,0.3379793167114258,3.5221288204193115,-0.7931181490421295,yolov5m
27,2024-12-01T18:10:47.258249,2,0.9103898406028748,15.566596031188965,68.9,1,0.1497910022735595,3.219574213027954,-0.6545921862125397,yolov5m
30,2024-12-01T18:10:48.264253,2,0.9399135112762452,16.572607278823853,47.3,1,0.1822123527526855,2.721791982650757,-0.3909392356872558,yolov5m
34,2024-12-01T18:10:48.943978,2,0.4296779930591583,17.252331018447876,46.4,1,0.151350736618042,1.398974895477295,-0.2346484512090683,yolov5m
38,2024-12-01T18:10:50.083571,2,0.8381474614143372,18.39192128181457,44.1,1,0.214109182357788,0.5358891487121582,0.6870183050632477,yolov5m
39,2024-12-01T18:10:51.297066,2,0.8740590810775757,19.605422735214237,27.1,1,0.3255829811096191,1.2252776622772217,0.324390709400177,yolov5m
39,2024-12-01T18:10:51.297066,3,0.8740590810775757,19.605422735214237,27.1,1,0.3255829811096191,1.2252776622772217,0.324390709400177,yolov5m
42,2024-12-01T18:10:53.225636,2,0.7703712781270345,21.53398108482361,37.9,3,0.2438578605651855,1.673938512802124,0.0482163826624552,yolov5m
48,2024-12-01T18:10:55.115684,3,0.6226182132959366,23.424034357070923,60.6,2,0.0792193412780761,0.5624682903289795,0.592543251812458,yolov5m
51,2024-12-01T18:10:56.417317,43,0.9147294759750366,24.725675106048584,76.9,1,0.1071009635925293,0.801429271697998,0.8580793738365173,yolov5m
56,2024-12-01T18:10:57.487093,41,0.6251382927099863,25.795446634292603,52.0,3,0.2714617252349853,1.7765181064605713,-0.0756899068752924,yolov5m
63,2024-12-01T18:10:58.494034,24,0.802820235490799,26.80238676071167,79.9,2,0.1027140617370605,2.646908760070801,-0.4220442622900009,yolov5n
65,2024-12-01T18:10:59.023319,20,0.9069480299949646,27.33167338371277,75.8,1,0.1041154861450195,3.1142702102661133,-0.6036610901355743,yolov5n
69,2024-12-01T18:11:00.582805,20,0.6474226117134094,28.891153573989868,69.9,1,0.0399246215820312,4.561033248901367,-1.4568053185939789,yolov5n
83,2024-12-01T18:11:01.707166,22,0.6315257102251053,30.01552677154541,45.7,2,0.0928218364715576,5.427622318267822,-1.8980483040213585,yolov5n
94,2024-12-01T18:11:02.847921,9,0.8201148509979248,31.15627813339233,44.9,1,0.1378111839294433,6.251161813735962,-2.2155234813690186,yolov5n
110,2024-12-01T18:11:04.053819,13,0.8561009764671326,32.36217403411865,46.5,1,0.1006965637207031,7.148136138916016,-2.646017581224441,yolov5n
122,2024-12-01T18:11:05.059816,9,0.7399106025695801,33.368170738220215,49.3,1,0.1091165542602539,7.835693597793579,-3.0478914976119995,yolov5n
128,2024-12-01T18:11:06.176651,9,0.4946856796741485,34.48500442504883,45.7,2,0.1064903736114502,8.681789875030518,-3.843552097678185,yolov5n
134,2024-12-01T18:11:07.162841,11,0.6877122521400452,35.47119855880737,43.8,1,0.0354459285736084,9.365506410598757,-3.838897079229355,yolov5n
149,2024-12-01T18:11:08.191232,8,0.7901710867881775,36.49958443641663,49.6,1,0.1013610363006591,10.134069681167604,-4.1719492971897125,yolov5n
157,2024-12-01T18:11:10.339901,10,0.8183269500732422,38.64825463294983,45.5,1,0.1890010833740234,11.731367826461792,-4.956520438194275,yolov5n
161,2024-12-01T18:11:11.259141,8,0.4869841635227203,39.56749701499939,67.4,1,0.1275660991668701,12.457784414291382,-5.735400125384331,yolov5n
167,2024-12-01T18:11:12.533937,7,0.6896527409553528,40.842286348342896,55.2,1,0.1418259143829345,13.436726093292236,-5.873536676168442,yolov5n
171,2024-12-01T18:11:13.333511,7,0.8038614988327026,41.64186453819275,42.2,1,0.1214728355407714,14.067289113998411,-6.131713807582855,yolov5n
175,2024-12-01T18:11:14.435605,6,0.633739173412323,42.74395990371704,47.1,1,0.1038966178894043,14.972740411758425,-6.66950061917305,yolov5s
179,2024-12-01T18:11:15.604738,4,0.9046259522438048,43.91308689117432,49.3,1,0.1997253894805908,15.91087007522583,-7.003122061491013,yolov5s
183,2024-12-01T18:11:16.575450,5,0.9284079670906068,44.88380813598633,46.0,1,0.1302921772003173,16.6889386177063,-7.380265325307846,yolov5s
190,2024-12-01T18:11:18.562313,3,0.8706762790679932,46.87066435813904,35.6,1,0.168675422668457,18.167508125305176,-8.148415923118591,yolov5m
193,2024-12-01T18:11:19.719932,3,0.5421230494976044,48.0282883644104,42.2,2,0.2030367851257324,19.06397533416748,-8.760926142334938,yolov5m
195,2024-12-01T18:11:20.449762,3,0.7943075895309448,48.758116483688354,50.1,1,0.2541940212249756,19.59268832206726,-8.899190366268158,yolov5m
198,2024-12-01T18:11:21.619805,3,0.8582470417022705,49.92816209793091,43.4,1,0.2370715141296386,20.51146364212036,-9.326608300209044,yolov5m
200,2024-12-01T18:11:22.486562,3,0.8658697605133057,50.79491329193115,42.9,1,0.3203966617584228,21.20103645324707,-9.667583346366882,yolov5m
203,2024-12-01T18:11:23.618956,3,0.8413988947868347,51.92730975151062,42.8,1,0.2216100692749023,22.085204124450684,-10.121902614831924,yolov5m
207,2024-12-01T18:11:25.409458,3,0.8143667578697205,53.71781086921692,43.4,1,0.214548110961914,23.49112892150879,-10.838381081819534,yolov5m
209,2024-12-01T18:11:26.650918,3,0.8855812549591064,54.959269285202026,45.0,1,0.2856824398040771,24.548562049865723,-11.331490397453308,yolov5m
212,2024-12-01T18:11:27.892133,3,0.9050446152687072,56.20048761367798,43.8,1,0.2188358306884765,25.45393133163452,-11.774443358182909,yolov5m
214,2024-12-01T18:11:28.730906,3,0.4411091357469558,57.03926086425781,40.5,2,0.2445616722106933,26.11967706680298,-12.589283965528011,yolov5m
217,2024-12-01T18:11:29.922312,3,0.938524603843689,58.23066234588623,41.7,1,0.2534787654876709,27.072936534881592,-12.567205965518951,yolov5m
219,2024-12-01T18:11:30.828307,3,0.6630000919103622,59.13665938377381,39.1,2,0.3018863201141357,27.80440592765808,-13.07070291787386,yolov5m
222,2024-12-01T18:11:32.051214,3,0.9651946425437928,60.35957050323486,44.6,1,0.2479979991912841,28.73838424682617,-13.38659480214119,yolov5m
226,2024-12-01T18:11:33.714880,3,0.8921083211898804,62.02323031425476,39.4,1,0.2565913200378418,29.939128398895264,-14.023510038852692,yolov5m
226,2024-12-01T18:11:33.714880,3,0.8921083211898804,62.02323031425476,39.4,1,0.2565913200378418,29.939128398895264,-14.023510038852692,yolov5m
229,2024-12-01T18:11:35.051257,3,0.9633358120918274,63.35960936546326,42.6,1,0.2423405647277832,30.96728730201721,-14.501975744962692,yolov5m
231,2024-12-01T18:11:35.952475,3,0.8327397406101227,64.26082944869995,40.3,2,0.1976022720336914,31.637614011764526,-14.902437135577202,yolov5m
233,2024-12-01T18:11:37.088047,3,0.9453485608100892,65.39640021324158,40.4,1,0.3512125015258789,32.57212853431702,-15.313389986753464,yolov5m
235,2024-12-01T18:11:37.938397,3,0,66.24675369262695,39.9,0,0.2740466594696045,33.21351861953735,-16.356759309768677,yolov5m
237,2024-12-01T18:11:38.967452,3,0.7821123600006104,67.27581024169922,38.4,3,0.3001472949981689,34.00356698036194,-16.110727310180664,yolov5m
241,2024-12-01T18:11:41.143409,3,0.704606294631958,69.45176434516907,40.3,3,0.2571256160736084,35.71592688560486,-17.00566029548645,yolov5m
243,2024-12-01T18:11:42.097339,3,0.7799737453460693,70.40569591522217,37.5,1,0.3513076305389404,36.41230821609497,-17.31616723537445,yolov5m
245,2024-12-01T18:11:43.313390,3,0.9561535120010376,71.62174892425537,36.9,1,0.3096849918365478,37.31457829475403,-17.679212391376495,yolov5m
246,2024-12-01T18:11:43.772811,3,0.8198123574256897,72.0811698436737,39.6,1,0.288637638092041,37.63508343696594,-17.907635539770126,yolov5m
248,2024-12-01T18:11:45.004282,3,0.6874918937683105,73.3126380443573,37.6,1,0.4649617671966553,38.60806941986084,-18.460288763046265,yolov5m
250,2024-12-01T18:11:46.028774,3,0.7930915355682373,74.33712697029114,41.3,1,0.2593367099761963,39.37638878822327,-18.791648626327515,yolov5m
252,2024-12-01T18:11:47.168745,3,0.8667147755622864,75.47710514068604,37.5,1,0.3397057056427002,40.26208281517029,-19.197684019804,yolov5m
