timestamp,confidence,time_to_process,cpu_utility,detection_boxes,model_processing_time,image_processing_time,utility,model
2024-11-22T01:20:09.682293,0.9529988765716552,12.88150429725647,43.0,1,12.880179166793823,12.909005165100098,-5.478003144264221,yolov5m
2024-11-22T01:20:09.682293,0.9529988765716552,12.88150429725647,43.0,1,12.880179166793823,12.909005165100098,-5.478003144264221,yolov5m
2024-11-22T01:20:09.682293,0.9529988765716552,12.88150429725647,43.0,1,12.880179166793823,12.909005165100098,-5.478003144264221,yolov5m
2024-11-22T01:20:09.682293,0.9529988765716552,12.88150429725647,43.0,1,12.880179166793823,12.909005165100098,-5.478003144264221,yolov5m
2024-11-22T01:20:19.519986,0.910886526107788,22.719199180603027,91.7,1,9.823450803756714,22.71067953109741,-10.399896502494812,yolov5m
2024-11-22T01:20:24.363807,0.8963146805763245,27.563028812408447,99.8,1,4.824230670928955,27.51419734954834,-12.808941334486008,yolov5m
2024-11-22T01:20:24.363807,0.8963146805763245,27.563028812408447,99.8,1,4.824230670928955,27.51419734954834,-12.808941334486008,yolov5m
2024-11-22T01:20:29.186282,0.9074072241783142,32.38551211357117,100.0,1,4.812504529953003,32.29805898666382,-15.195325881242752,yolov5m
2024-11-22T01:20:29.186282,0.9074072241783142,32.38551211357117,100.0,1,4.812504529953003,32.29805898666382,-15.195325881242752,yolov5m
2024-11-22T01:20:34.243299,0.8820894360542297,37.44250988960266,100.0,1,5.053970098495483,37.3163743019104,-17.717142432928085,yolov5m
2024-11-22T01:20:39.043959,0.9198489785194396,42.24318790435791,99.8,1,4.7829203605651855,42.03768992424011,-20.058920472860336,yolov5m
2024-11-22T01:20:39.043959,0.9198489785194396,42.24318790435791,99.8,1,4.7829203605651855,42.03768992424011,-20.058920472860336,yolov5m
2024-11-22T01:20:44.002814,0.8973641991615295,47.20204424858093,100.0,1,4.950865983963013,46.95682048797608,-22.529728144407272,yolov5m
2024-11-22T01:20:49.107821,0.8825216293334961,52.30704784393311,96.2,1,4.949573040008545,52.014495849609375,-25.06598711013794,yolov5m
2024-11-22T01:20:49.107821,0.8825216293334961,52.30704784393311,96.2,1,4.949573040008545,52.014495849609375,-25.06598711013794,yolov5m
2024-11-22T01:20:53.778863,0.7620065808296204,56.97807931900024,99.8,1,4.655744314193726,56.60068845748901,-27.419340938329697,yolov5m
2024-11-22T01:20:58.517364,0.802820235490799,61.71658301353455,100.0,2,4.73399829864502,61.33797693252564,-29.767578348517414,yolov5m
2024-11-22T01:20:58.517364,0.802820235490799,61.71658301353455,100.0,2,4.73399829864502,61.33797693252564,-29.767578348517414,yolov5m
2024-11-22T01:21:03.033268,0.927806556224823,66.23249864578247,100.0,1,4.51277494430542,65.83005094528198,-31.95112219452858,yolov5m
2024-11-22T01:21:07.693378,0.9132521152496338,70.89260411262512,99.6,1,4.636582851409912,70.44953680038452,-34.268142342567444,yolov5m
2024-11-22T01:21:07.693378,0.9132521152496338,70.89260411262512,99.6,1,4.636582851409912,70.44953680038452,-34.268142342567444,yolov5m
2024-11-22T01:21:12.484581,0.8969219923019409,75.6838047504425,100.0,1,4.786267518997192,75.20098686218262,-36.65203243494034,yolov5m
2024-11-22T01:21:17.065586,0.9115067720413208,80.264812707901,100.0,1,4.573351621627808,79.74212956428528,-38.91531139612198,yolov5m
2024-11-22T01:21:17.065586,0.9115067720413208,80.264812707901,100.0,1,4.573351621627808,79.74212956428528,-38.91531139612198,yolov5m
2024-11-22T01:21:21.609320,0.9147294759750366,84.8085470199585,100.0,1,4.537499666213989,84.24660539627075,-41.16593796014786,yolov5m
2024-11-22T01:21:26.223785,0.9077531099319458,89.42300701141357,100.0,1,4.606533527374268,88.05564212799072,-43.07394450902939,yolov5m
2024-11-22T01:21:26.223785,0.9077531099319458,89.42300701141357,100.0,1,4.606533527374268,88.05564212799072,-43.07394450902939,yolov5m
2024-11-22T01:21:31.289217,0.8799281716346741,94.48844718933104,96.4,1,4.973219156265259,92.3145182132721,-45.21729502081871,yolov5m
2024-11-22T01:21:35.703148,0.6977228025595347,98.9023778438568,99.8,3,4.39713978767395,95.93564558029176,-47.1189613888661,yolov5m
2024-11-22T01:21:35.703148,0.6977228025595347,98.9023778438568,99.8,3,4.39713978767395,95.93564558029176,-47.1189613888661,yolov5m
2024-11-22T01:21:40.711021,0.6594493240118027,103.9097225666046,93.9,2,4.637431383132935,100.09897899627686,-49.219764836132526,yolov5m
2024-11-22T01:21:45.417022,0.6484668850898743,108.61624217033386,99.3,2,4.660770416259766,104.04321122169496,-51.197372168302536,yolov5m
2024-11-22T01:21:45.417022,0.6484668850898743,108.61624217033386,99.3,2,4.660770416259766,104.04321122169496,-51.197372168302536,yolov5m
2024-11-22T01:21:50.028817,0.9069480299949646,113.22804641723631,100.0,1,4.607185363769531,107.85045409202576,-52.9717530310154,yolov5m
2024-11-22T01:21:54.738915,0.9132521152496338,117.9381377696991,99.6,1,4.683787822723389,111.76284790039062,-54.924797892570496,yolov5m
2024-11-22T01:21:54.738915,0.9132521152496338,117.9381377696991,99.6,1,4.683787822723389,111.76284790039062,-54.924797892570496,yolov5m
2024-11-22T01:21:59.377819,0.9106015563011168,122.57704329490662,100.0,1,4.634519338607788,115.59857439994812,-56.8439864218235,yolov5m
2024-11-22T01:22:04.421634,0.918056309223175,127.62086582183838,93.5,1,4.867560386657715,119.82716751098631,-58.95455560088158,yolov5m
2024-11-22T01:22:04.421634,0.918056309223175,127.62086582183838,93.5,1,4.867560386657715,119.82716751098631,-58.95455560088158,yolov5m
