image,timestamp,input_rate,confidence,absolute_time_from_start,cpu_utility,detection_boxes,model_processing_time,image_processing_time,utility,model
1,2024-12-02T17:48:29.468160,1,0.8432635068893433,1.2766320705413818,8.0,1,1.275686740875244,1.902881622314453,-0.0298090577125549,yolov5n
2,2024-12-02T17:48:30.392961,1,0.6680183112621307,2.201441764831543,20.8,2,0.2036867141723632,0.8338654041290283,0.7509418576955795,yolov5n
2,2024-12-02T17:48:30.392961,1,0.6680183112621307,2.201441764831543,20.8,2,0.2036867141723632,0.8338654041290283,0.7509418576955795,yolov5s
2,2024-12-02T17:48:30.392961,1,0.6680183112621307,2.201441764831543,20.8,2,0.2036867141723632,0.8338654041290283,0.7509418576955795,yolov5m
3,2024-12-02T17:48:34.130816,1,0,5.939287424087524,21.1,0,1.5732719898223877,2.553305625915528,-1.0266528129577637,yolov5l
3,2024-12-02T17:48:34.130816,1,0,5.939287424087524,21.1,0,1.5732719898223877,2.553305625915528,-1.0266528129577637,yolov5m
4,2024-12-02T17:48:35.624983,1,0.6270825266838074,7.433448553085327,30.3,1,1.3875834941864014,2.0685582160949707,-0.2207378447055816,yolov5s
6,2024-12-02T17:48:37.626939,1,0.4168528914451599,9.435420274734495,18.3,2,0.0460507869720459,0.070824384689331,-0.0561613619327545,yolov5n
7,2024-12-02T17:48:39.605754,1,0.8030003905296326,11.414230108261108,16.8,1,0.0219960212707519,0.048574686050415,0.3757875382900238,yolov5n
7,2024-12-02T17:48:39.605754,1,0.8030003905296326,11.414230108261108,16.8,1,0.0219960212707519,0.048574686050415,0.3757875382900238,yolov5s
7,2024-12-02T17:48:39.605754,1,0.8030003905296326,11.414230108261108,16.8,1,0.0219960212707519,0.048574686050415,0.3757875382900238,yolov5m
8,2024-12-02T17:48:42.419710,1,0.9019891023635864,14.228193521499634,17.9,1,0.1913912296295166,0.854839563369751,0.8784143328666687,yolov5l
8,2024-12-02T17:48:42.419710,1,0.9019891023635864,14.228193521499634,17.9,1,0.1913912296295166,0.854839563369751,0.8784143328666687,yolov5x
8,2024-12-02T17:48:42.419710,1,0.9019891023635864,14.228193521499634,17.9,1,0.1913912296295166,0.854839563369751,0.8784143328666687,yolov5x
9,2024-12-02T17:48:46.567371,1,0.9181188941001892,18.375844955444336,26.5,1,1.959427118301392,2.9831206798553467,-0.5325008928775787,yolov5x
9,2024-12-02T17:48:46.567371,1,0.9181188941001892,18.375844955444336,26.5,1,1.959427118301392,2.9831206798553467,-0.5325008928775787,yolov5l
11,2024-12-02T17:48:49.548987,1,0.813873291015625,21.357466220855716,46.9,1,0.2779254913330078,1.9867851734161377,-0.0864559412002563,yolov5m
12,2024-12-02T17:48:49.853386,1,0.805846631526947,21.66186285018921,62.8,1,0.2658131122589111,0.2927424907684326,0.5492945611476898,yolov5l
12,2024-12-02T17:48:49.853386,1,0.805846631526947,21.66186285018921,62.8,1,0.2658131122589111,0.2927424907684326,0.5492945611476898,yolov5x
13,2024-12-02T17:48:53.033590,1,0.9348580837249756,24.842071771621704,21.4,1,0.5970828533172607,1.458036184310913,0.2384109497070312,yolov5x
13,2024-12-02T17:48:53.033590,1,0.9348580837249756,24.842071771621704,21.4,1,0.5970828533172607,1.458036184310913,0.2384109497070312,yolov5x
14,2024-12-02T17:48:54.919999,1,0.9640949964523317,26.72847819328308,27.9,1,0.5764961242675781,1.3471064567565918,0.3084942698478699,yolov5x
15,2024-12-02T17:48:56.820650,1,0.9436438679695128,28.629133224487305,28.3,1,0.5505659580230713,1.2509210109710691,0.3463614284992218,yolov5x
15,2024-12-02T17:48:56.820650,1,0.9436438679695128,28.629133224487305,28.3,1,0.5505659580230713,1.2509210109710691,0.3463614284992218,yolov5x
15,2024-12-02T17:48:56.820650,1,0.9436438679695128,28.629133224487305,28.3,1,0.5505659580230713,1.2509210109710691,0.3463614284992218,yolov5x
15,2024-12-02T17:48:56.820650,1,0.9436438679695128,28.629133224487305,28.3,1,0.5505659580230713,1.2509210109710691,0.3463614284992218,yolov5x
18,2024-12-02T17:49:02.438766,1,0.8749606907367706,34.24724531173706,47.9,2,0.56076979637146,0.8652424812316895,0.87010158598423,yolov5l
19,2024-12-02T17:49:03.789134,1,0.9422670602798462,35.597612619400024,22.7,1,0.1843173503875732,0.2206511497497558,0.581459105014801,yolov5x
19,2024-12-02T17:49:03.789134,1,0.9422670602798462,35.597612619400024,22.7,1,0.1843173503875732,0.2206511497497558,0.581459105014801,yolov5x
19,2024-12-02T17:49:03.789134,1,0.9422670602798462,35.597612619400024,22.7,1,0.1843173503875732,0.2206511497497558,0.581459105014801,yolov5x
20,2024-12-02T17:49:06.754948,1,0.9717878699302672,38.56343007087708,24.0,1,0.5882575511932373,1.1836578845977783,0.3940649926662445,yolov5x
21,2024-12-02T17:49:08.668883,1,0.9589051008224488,40.477365016937256,25.7,1,0.4869382381439209,1.0966389179229736,0.4311330914497375,yolov5x
21,2024-12-02T17:49:08.668883,1,0.9589051008224488,40.477365016937256,25.7,1,0.4869382381439209,1.0966389179229736,0.4311330914497375,yolov5x
21,2024-12-02T17:49:08.668883,1,0.9589051008224488,40.477365016937256,25.7,1,0.4869382381439209,1.0966389179229736,0.4311330914497375,yolov5x
22,2024-12-02T17:49:10.934253,1,0.9545497298240662,42.74273681640625,25.8,1,0.5953447818756104,1.3536062240600586,0.3004717528820038,yolov5x
23,2024-12-02T17:49:13.035830,1,0.600142315030098,44.84431195259094,26.7,2,0.6247599124908447,1.450944900512695,0.0745987072587013,yolov5x
23,2024-12-02T17:49:13.035830,1,0.600142315030098,44.84431195259094,26.7,2,0.6247599124908447,1.450944900512695,0.0745987072587013,yolov5x
24,2024-12-02T17:49:14.978893,1,0.9419967532157898,46.78737211227417,28.6,1,0.5621397495269775,1.393632411956787,0.2741821706295013,yolov5x
25,2024-12-02T17:49:16.672055,1,0.9321947693824768,48.48053860664368,25.3,1,0.4350142478942871,1.0921595096588137,0.4200176298618316,yolov5x
