image,timestamp,input_rate,confidence,absolute_time_from_start,cpu_utility,detection_boxes,model_processing_time,image_processing_time,utility,model
2,2024-12-02T15:43:10.315258,1,0.762774924437205,1.90476393699646,35.7,3,0.2823591232299804,0.5434198379516602,0.6530973811944325,yolov5m
2,2024-12-02T15:43:10.315258,1,0.762774924437205,1.90476393699646,35.7,3,0.2823591232299804,0.5434198379516602,0.6530973811944325,yolov5m
2,2024-12-02T15:43:10.315258,1,0.762774924437205,1.90476393699646,35.7,3,0.2823591232299804,0.5434198379516602,0.6530973811944325,yolov5s
3,2024-12-02T15:43:13.223878,1,0.6566569209098816,4.813387870788574,20.5,1,0.4813404083251953,1.4355018138885498,0.1105775535106659,yolov5n
4,2024-12-02T15:43:15.125622,1,0.8123064041137695,6.715123891830444,22.6,1,1.2557530403137207,1.3567900657653809,0.2277581691741943,yolov5s
5,2024-12-02T15:43:16.743072,1,0.7987641096115112,8.332586526870728,20.1,1,0.2748496532440185,0.967137336730957,0.8829507231712341,yolov5m
5,2024-12-02T15:43:16.743072,1,0.7987641096115112,8.332586526870728,20.1,1,0.2748496532440185,0.967137336730957,0.8829507231712341,yolov5l
6,2024-12-02T15:43:17.916612,1,0.7138853073120117,9.50612473487854,20.1,1,0.1030569076538086,0.147763967514038,0.4308246374130249,yolov5x
6,2024-12-02T15:43:17.916612,1,0.7138853073120117,9.50612473487854,20.1,1,0.1030569076538086,0.147763967514038,0.4308246374130249,yolov5x
7,2024-12-02T15:43:21.781760,1,0.9248490333557128,13.37126326560974,30.5,1,1.9983210563659668,2.012106418609619,-0.0436286926269531,yolov5x
7,2024-12-02T15:43:21.781760,1,0.9248490333557128,13.37126326560974,30.5,1,1.9983210563659668,2.012106418609619,-0.0436286926269531,yolov5l
8,2024-12-02T15:43:22.930609,1,0.590236226717631,14.520114421844482,35.0,3,0.5082361698150635,1.1499717235565186,0.2201322515805562,yolov5m
9,2024-12-02T15:43:25.252058,1,0.6996793150901794,16.84156847000122,22.1,1,0.4239394664764404,1.4559004306793213,0.121889442205429,yolov5s
9,2024-12-02T15:43:25.252058,1,0.6996793150901794,16.84156847000122,22.1,1,0.4239394664764404,1.4559004306793213,0.121889442205429,yolov5m
10,2024-12-02T15:43:27.066910,1,0.9552552103996276,18.656423091888428,22.5,1,0.3810029029846191,1.2768874168395996,0.339183896780014,yolov5l
10,2024-12-02T15:43:27.066910,1,0.9552552103996276,18.656423091888428,22.5,1,0.3810029029846191,1.2768874168395996,0.339183896780014,yolov5x
12,2024-12-02T15:43:30.516141,1,0.5736338496208191,22.1056547164917,66.9,1,0.4583890438079834,0.7421433925628662,0.6578886210918427,yolov5x
12,2024-12-02T15:43:30.516141,1,0.5736338496208191,22.1056547164917,66.9,1,0.4583890438079834,0.7421433925628662,0.6578886210918427,yolov5l
12,2024-12-02T15:43:30.516141,1,0.5736338496208191,22.1056547164917,66.9,1,0.4583890438079834,0.7421433925628662,0.6578886210918427,yolov5m
13,2024-12-02T15:43:33.231163,1,0.9348580837249756,24.820677518844604,23.1,1,0.5937738418579102,1.4417705535888672,0.2465437650680542,yolov5s
14,2024-12-02T15:43:34.820221,1,0.91843581199646,26.40973424911499,19.6,1,0.2594063282012939,1.033578395843506,0.442428708076477,yolov5m
15,2024-12-02T15:43:36.763493,1,0.9217556715011596,28.353005170822144,20.2,1,0.293086290359497,0.9803519248962402,0.9510537981987,yolov5l
