timestamp,confidence,absolute_time_from_start,cpu_utility,detection_boxes,model_processing_time,image_processing_time,utility,model
0001-01-01 00:00:00,0.0,0.0,0.0,0,0.0,0.0,0.0,yolov5n
2024-11-23T10:49:33.720038,0.9552552103996276,4.227771282196045,29.0,1,0.391129732131958,4.702100992202759,-1.3734228909015656,yolov5m
2024-11-23T10:49:36.081084,0.9518145322799684,6.588822364807129,35.4,1,0.2984371185302734,6.622828960418701,-2.3355072140693665,yolov5m
2024-11-23T10:49:38.413190,0.8882903456687927,8.920931816101074,26.2,1,0.4670565128326416,8.499536275863647,-3.305622965097428,yolov5m
2024-11-23T10:49:42.696451,0.9561535120010376,13.20419192314148,29.2,1,0.2816340923309326,8.450041770935059,-3.2469441294670105,yolov5m
2024-11-23T10:49:45.640837,0.9553003311157228,16.148571014404297,41.6,1,0.1848163604736328,2.1955718994140625,-0.1201357841491699,yolov5m
2024-11-23T10:49:48.521247,0.8360626697540283,19.02898979187012,18.5,2,0.4029572010040283,1.071766376495361,0.3821481466293335,yolov5l
2024-11-23T10:49:50.756502,0.8125699162483215,21.26424479484558,19.7,1,0.4389028549194336,1.2987828254699707,0.2568935453891754,yolov5l
2024-11-23T10:49:54.562580,0.9137630462646484,25.07031774520874,19.7,1,0.3661341667175293,1.1080574989318848,0.4028527736663818,yolov5l
2024-11-23T10:49:57.716905,0.9307781457901,28.224642753601078,23.4,1,0.2593793869018554,0.2692947387695312,0.6000364422798157,yolov5l
2024-11-23T10:50:00.391345,0.9118850827217102,30.899083137512207,19.4,1,0.2940354347229004,0.9381165504455566,0.9250008165836334,yolov5l
2024-11-23T10:50:04.346004,0.8967211842536926,34.853740215301514,22.3,1,0.2826950550079345,0.893547773361206,0.8951344788074493,yolov5l
2024-11-23T10:50:06.280600,0.9567486047744752,36.78833723068237,20.0,1,0.2599308490753174,0.8288941383361816,0.8928213715553284,yolov5l
2024-11-23T10:50:10.338266,0.9563108682632446,40.84600353240967,19.6,1,0.2998697757720947,0.8838980197906494,0.920104444026947,yolov5l
2024-11-23T10:50:11.760080,0.9556086659431458,42.26781749725342,20.7,1,0.2334649562835693,0.3058135509490967,0.6307111084461212,yolov5l
2024-11-23T10:50:16.434277,0.9389832615852356,46.942020416259766,19.5,1,0.3683233261108398,0.9757390022277832,0.9573611319065094,yolov5l
2024-11-23T10:50:18.716038,0.9437225461006165,49.22377967834473,19.9,1,0.4545102119445801,1.245520830154419,0.3491008579730987,yolov5l
2024-11-23T10:50:20.347936,0.95145982503891,50.855677127838135,22.8,2,0.3169293403625488,0.8912413120269775,0.9213505685329436,yolov5l
