image,timestamp,input_rate,confidence,absolute_time_from_start,cpu_utility,detection_boxes,model_processing_time,image_processing_time,utility,model,var_rate
2,2024-11-23T14:17:47.174070,15,0.798742393652598,2.325727939605713,48.9,3,0.3932361602783203,2.8772706985473637,-0.5392641524473827,yolov5n,0.009
11,2024-11-23T14:17:49.135326,14,0.7403842210769653,4.2869908809661865,76.3,1,0.0210692882537841,4.578519821166992,-1.4190678000450134,yolov5n,0.009
18,2024-11-23T14:17:50.257613,12,0.7917284369468689,5.409266710281372,56.6,1,0.1605398654937744,5.559925079345703,-1.884098321199417,yolov5n,0.009
24,2024-11-23T14:17:51.203441,15,0.8879192471504211,6.355101108551025,69.4,1,0.0219836235046386,6.288465976715088,-2.2002733647823334,yolov5n,0.009
31,2024-11-23T14:17:52.292818,10,0.8377725481987,7.444477558135986,35.3,1,0.175757884979248,7.234113931655884,-2.698170691728592,yolov5n,0.009
43,2024-11-23T14:17:53.518595,12,0.5759844183921814,8.670259475708008,80.6,2,0.020583152770996,8.143687009811401,-3.28385129570961,yolov5n,0.009
53,2024-11-23T14:17:55.545670,19,0.8924301862716675,10.697322845458984,39.9,1,0.1306767463684082,9.794674634933472,-3.951122224330902,yolov5n,0.009
57,2024-11-23T14:17:56.539090,9,0.8560725450515747,11.690752267837524,35.8,1,0.2311220169067382,10.6082022190094,-4.376064836978912,yolov5n,0.009
62,2024-11-23T14:17:57.498955,6,0.6877122521400452,12.650615930557253,38.6,1,0.0357115268707275,11.22431993484497,-4.768303841352463,yolov5n,0.009
67,2024-11-23T14:17:58.672444,5,0.3673117160797119,13.824103832244871,77.3,1,0.021942138671875,11.964847803115845,-5.548768043518066,yolov5n,0.009
69,2024-11-23T14:17:59.216304,4,0.4262295365333557,14.36795711517334,41.3,1,0.2221012115478515,12.448355913162231,-5.761063188314438,yolov5s,0.009
69,2024-11-23T14:17:59.216304,3,0.4262295365333557,14.36795711517334,41.3,1,0.2221012115478515,12.448355913162231,-5.761063188314438,yolov5s,0.009
75,2024-11-23T14:18:02.002142,3,0.7987641096115112,17.153804302215576,38.1,1,0.3072106838226318,14.911709547042848,-6.556472718715668,yolov5m,0.009
77,2024-11-23T14:18:03.843101,2,0.5433987975120544,18.994763612747192,67.4,1,0.1384575366973877,16.530254125595093,-7.493427664041519,yolov5m,0.009
79,2024-11-23T14:18:04.786225,2,0.7320907413959503,19.937883377075195,70.0,2,0.3505606651306152,17.374260187149048,-7.821084722876549,yolov5m,0.009
82,2024-11-23T14:18:05.708919,2,0.7930915355682373,20.860576629638672,45.6,1,0.2732172012329101,18.164630651474,-8.18576955795288,yolov5m,0.009
84,2024-11-23T14:18:06.579640,2,0.5327438116073608,21.73130226135254,43.3,2,0.3137621879577636,18.834836721420288,-8.651046454906464,yolov5m,0.009
86,2024-11-23T14:18:07.656639,1,0.8690493404865265,22.808300733566284,32.2,2,0.4128439426422119,19.74141907691956,-8.936184868216515,yolov5m,0.009
90,2024-11-23T14:18:08.980805,1,0.926279842853546,24.13246703147888,40.4,1,0.1967849731445312,20.74266505241394,-9.408192604780195,yolov5m,0.009
94,2024-11-23T14:18:10.856958,1,0.9290567636489868,26.00862050056457,37.6,1,0.4065701961517334,22.303691625595093,-10.187317430973051,yolov5l,0.009
97,2024-11-23T14:18:12.034018,1,0.8710086941719055,27.185677528381348,69.9,1,0.2066357135772705,23.185616493225098,-10.657303899526596,yolov5l,0.009
98,2024-11-23T14:18:12.653590,1,0.9530207514762878,27.805251598358154,39.8,1,0.4021222591400146,23.80023455619812,-10.923606902360916,yolov5l,0.009
99,2024-11-23T14:18:13.226634,1,0.929515540599823,28.37828826904297,39.1,1,0.3717761039733886,24.23376202583313,-11.152123242616652,yolov5l,0.009
101,2024-11-23T14:18:13.979818,1,0.6462199787298838,29.131473779678345,44.9,3,0.2623188495635986,24.830129861831665,-11.59195494155089,yolov5l,0.009
103,2024-11-23T14:18:14.916543,1,0.8746616840362549,30.0682053565979,39.7,1,0.4726185798645019,25.6369788646698,-11.881158590316772,yolov5l,0.009
105,2024-11-23T14:18:15.871226,1,0.919465959072113,31.02288627624512,43.4,1,0.4223144054412842,26.32752084732056,-12.204027444124222,yolov5l,0.009
110,2024-11-23T14:18:17.815548,1,0.95145982503891,32.967207193374634,58.0,2,0.3282179832458496,27.82576632499695,-12.93715324997902,yolov5l,0.009
112,2024-11-23T14:18:18.787140,1,0.9337055683135986,33.93879556655884,55.2,1,0.181593656539917,28.63909077644348,-13.35269260406494,yolov5l,0.009
114,2024-11-23T14:18:19.789560,1,0.9498319625854492,34.94122052192688,45.5,1,0.230461835861206,29.46039605140686,-13.755282044410706,yolov5l,0.009
116,2024-11-23T14:18:20.761717,1,0.8683805465698242,35.91337585449219,51.5,1,0.258263349533081,30.218564987182617,-14.175092220306396,yolov5l,0.009
119,2024-11-23T14:18:22.252522,1,0.8678610920906067,37.40418291091919,44.6,1,0.4226393699645996,31.500945329666138,-14.816542118787766,yolov5l,0.009
121,2024-11-23T14:18:23.273804,1,0.5089230537414551,38.42546653747559,42.1,1,0.4367215633392334,32.407456398010254,-15.4492666721344,yolov5l,0.009
123,2024-11-23T14:18:23.950297,1,0.8944384455680847,39.10195279121399,56.7,1,0.35772705078125,32.91913461685181,-15.51234808564186,yolov5l,0.009
128,2024-11-23T14:18:26.196499,1,0.6100749969482422,41.348159074783325,67.9,1,0.1866240501403808,34.73068714141846,-16.560306072235107,yolov5l,0.009
129,2024-11-23T14:18:26.898958,1,0.8153891563415527,42.05062246322632,37.9,1,0.4642000198364258,35.42821717262268,-16.806414008140564,yolov5l,0.009
131,2024-11-23T14:18:27.925566,1,0.9460365176200868,43.077224016189575,45.0,1,0.3620517253875732,36.23101139068604,-17.142487436532974,yolov5l,0.009
133,2024-11-23T14:18:29.096124,1,0.9284241199493408,44.24778461456299,39.6,1,0.411231517791748,37.210532665252686,-17.641054272651672,yolov5l,0.009
134,2024-11-23T14:18:29.907234,1,0.9090096950531006,45.058894634246826,36.2,1,0.5073370933532715,37.92721009254456,-18.009100198745728,yolov5l,0.009
137,2024-11-23T14:18:31.317494,1,0.9630195498466492,46.46915602684021,70.9,1,0.2165050506591797,38.95811653137207,-18.49754849076271,yolov5l,0.009
141,2024-11-23T14:18:33.171802,1,0.5745574533939362,48.32345938682556,39.1,2,0.4442875385284424,40.641531467437744,-19.533487007021904,yolov5l,0.009
144,2024-11-23T14:18:34.527410,1,0.9430575370788574,49.67907214164734,52.1,1,0.3385529518127441,41.64783883094788,-19.85239064693451,yolov5l,0.009
145,2024-11-23T14:18:34.987333,1,0.9112045168876648,50.13899636268616,43.9,1,0.3606269359588623,42.06341648101807,-20.0761059820652,yolov5l,0.009
148,2024-11-23T14:18:36.533229,1,0.958872616291046,51.684890031814575,45.3,1,0.392064094543457,43.32544898986816,-20.68328818678856,yolov5l,0.009
151,2024-11-23T14:18:37.581166,1,0.7542124092578888,52.7328155040741,46.4,2,0.2009642124176025,44.057563066482544,-21.151675328612328,yolov5l,0.009
152,2024-11-23T14:18:38.150552,1,0.8595523834228516,53.30221748352051,42.9,1,0.4166488647460937,44.558709144592285,-21.34957838058472,yolov5l,0.009
154,2024-11-23T14:18:39.423054,1,0.8625431060791016,54.574716091156006,40.4,1,0.4380104541778564,45.60023880004883,-21.868847846984863,yolov5l,0.009
159,2024-11-23T14:18:41.184837,1,0.8645921945571899,56.33649635314941,36.7,1,0.4574356079101562,47.21531653404236,-22.675362169742584,yolov5l,0.009
161,2024-11-23T14:18:42.585254,1,0.9137630462646484,57.736910581588745,38.7,1,0.3948490619659424,48.36953639984131,-23.22788667678833,yolov5l,0.009
164,2024-11-23T14:18:43.718361,1,0.7509333789348602,58.87001538276672,38.0,2,0.4640488624572754,49.3485324382782,-23.79879952967167,yolov5l,0.009
167,2024-11-23T14:18:44.734267,1,0.4586067497730255,59.88591480255127,48.5,2,0.2449324131011963,50.151723861694336,-24.59655855596065,yolov5l,0.009
169,2024-11-23T14:18:45.640262,1,0.41187784075737,60.79192066192627,48.3,2,0.335362434387207,50.85586857795715,-24.97199536859989,yolov5l,0.009
171,2024-11-23T14:18:46.594529,1,0.8720122575759888,61.74619102478027,40.1,1,0.4611673355102539,51.7243857383728,-24.926186740398407,yolov5l,0.009
172,2024-11-23T14:18:47.478615,1,0.9194563031196594,62.63025307655335,35.0,1,0.4696767330169678,52.45090675354004,-25.26572522521019,yolov5l,0.009
176,2024-11-23T14:18:49.479906,1,0.943925678730011,64.6315655708313,46.9,1,0.3379354476928711,53.97058320045471,-26.01332876086235,yolov5l,0.009
178,2024-11-23T14:18:50.879296,1,0.7782670855522156,66.03095388412476,46.8,1,0.3913066387176513,55.09583377838135,-26.65878334641457,yolov5l,0.009
179,2024-11-23T14:18:51.696413,1,0.7157934308052063,66.84807515144348,35.2,1,0.5435807704925537,55.830237865448,-27.0572222173214,yolov5l,0.009
180,2024-11-23T14:18:52.562703,1,0.9378843307495116,67.7143657207489,35.1,1,0.487811803817749,56.52676224708557,-27.29443895816803,yolov5l,0.009
181,2024-11-23T14:18:53.272911,1,0.8511730432510376,68.42457127571106,36.3,1,0.4532983303070068,57.027387857437134,-27.588107407093048,yolov5l,0.009
183,2024-11-23T14:18:54.676808,1,0.9502326250076294,69.82846236228943,40.0,1,0.4402368068695068,58.112990856170654,-28.081379115581512,yolov5l,0.009
185,2024-11-23T14:18:55.999444,1,0.955595076084137,71.15110397338867,41.1,1,0.3644797801971435,59.16241765022278,-28.60341128706932,yolov5l,0.009
187,2024-11-23T14:18:57.379922,1,0.8463553786277771,72.53157544136047,38.6,1,0.4461128711700439,60.26096796989441,-29.20730629563332,yolov5l,0.009
189,2024-11-23T14:18:59.049956,1,0.9139285087585448,74.20161867141724,41.3,1,0.4158594608306885,61.54978060722351,-29.817926049232483,yolov5l,0.009
189,2024-11-23T14:18:59.049956,1,0.9139285087585448,74.20161867141724,41.3,1,0.4158594608306885,61.54978060722351,-29.817926049232483,yolov5l,0.009
190,2024-11-23T14:19:00.117860,1,0.9181188941001892,75.26952290534973,34.8,1,0.5347671508789062,62.4356153011322,-30.258748203516006,yolov5l,0.009
192,2024-11-23T14:19:01.946024,1,0.8980998992919922,77.09768509864807,33.3,1,0.4279160499572754,63.645095109939575,-30.87349760532379,yolov5l,0.009
193,2024-11-23T14:19:02.827089,1,0.9370641708374025,77.97875213623047,34.5,1,0.5282547473907471,64.32732701301575,-31.19513142108917,yolov5l,0.009
194,2024-11-23T14:19:03.630357,1,0.9429776072502136,78.78202152252197,32.8,1,0.3935725688934326,64.8882737159729,-31.472648054361343,yolov5l,0.009
